"Read"	{"file_path":"/r/construction/u1-alpha/functional-design/entities.md"}	ALLOW	""
"Read"	{"file_path":"/r/construction/u2-beta/functional-design/entities.md"}	ALLOW	""
"Read"	{"file_path":"/r/construction/u2-beta/contract.md"}	BLOCK	"/r/construction/u2-beta/contract.md"
"Read"	{"file_path":"/r/inception/requirements-analysis/requirements.md"}	ALLOW	""
"Read"	{"file_path":"construction/u2-beta/a.md"}	BLOCK	"construction/u2-beta/a.md"
"Read"	{"file_path":"construction/u1-alpha/a.md"}	ALLOW	""
"Read"	{"file_path":"construction/U2-BETA/a.md"}	BLOCK	"construction/U2-BETA/a.md"
"Read"	{"file_path":"construction/U1-ALPHA/a.md"}	ALLOW	""
"Read"	{"file_path":"CONSTRUCTION/u2-beta/a.md"}	BLOCK	"CONSTRUCTION/u2-beta/a.md"
"Read"	{"file_path":"/r/construction"}	BLOCK	"/r/construction"
"Read"	{"file_path":"/r/construction/"}	BLOCK	"/r/construction/"
"Read"	{"file_path":"construction"}	BLOCK	"construction"
"Read"	{"file_path":"construction/"}	BLOCK	"construction/"
"Read"	{"file_path":"/r/construction/u1-alpha/../u2-beta/design.md"}	BLOCK	"/r/construction/u1-alpha/../u2-beta/design.md"
"Read"	{"file_path":"/r/construction/u1-alpha/../u1-alpha/design.md"}	ALLOW	""
"Read"	{"file_path":"../construction/u2-beta/design.md"}	BLOCK	"../construction/u2-beta/design.md"
"Read"	{"file_path":"/r/construction/*/design.md"}	BLOCK	"/r/construction/*/design.md"
"Read"	{"file_path":"/r/construction/u?-beta/design.md"}	BLOCK	"/r/construction/u?-beta/design.md"
"Read"	{"file_path":"/r/constr*/u2-beta/design.md"}	BLOCK	"/r/constr*/u2-beta/design.md"
"Read"	{"file_path":"/r/*/u2-beta/design.md"}	ALLOW	""
"Read"	{"file_path":"/w/construction/u2-beta/design.md"}	BLOCK	"/w/construction/u2-beta/design.md"
"Read"	{"file_path":"/elsewhere/construction/u2-beta/design.md"}	BLOCK	"/elsewhere/construction/u2-beta/design.md"
"Read"	{"file_path":"C:\\r\\construction\\u2-beta\\design.md"}	ALLOW	""
